"Graded.Index"	"Peak.Current"	"SS.Current"	"Branch.Number"	"SGN.Type"	"Spike.Type"	"MP.Classification"	"Age"	"CDR"	"AP.Latency.threshold"	"AHP.tau"	"Current.Threshold"	"Voltage.Threshold"	"Vm"	"AP.Height"	"Rin"	"ss.30"	"ss.max"	"g.30"	"gmax"	"Vmid"	"g30.gmax"	"Outward.inactivation.tau"	"AP.Latency"
"75"	1.931772584	NA	NA	NA	""	"Transient"	""	7	NA	12.7	16.76	50.41719085	-60.94360488	-62.5000014	45.56274516	0.526403505	484.6191406	3990.478516	8.464963155	29.09573801	-4.559789756	0.290934815	136.2	11.8
"76"	0.202839526	NA	NA	NA	""	"Graded"	""	12	NA	4.9	NA	151.190298	-55.51147585	-62.86621234	17.8527836	0.196932478	1489.257813	5803.833008	26.01323691	42.31743235	-31.73301539	0.614716807	NA	4.1
"77"	0.37241187	NA	NA	NA	""	"Graded"	""	16	NA	20.4	NA	20.21292796	NA	-65.03296044	15.56396519	1.34099359	1038.818359	6604.614258	18.14529885	48.15616106	-6.852037375	0.376801191	133.92	8.1
"78"	1.882905188	NA	NA	NA	""	"Transient"	""	12	NA	5.7	4.85	121.0846488	NA	-64.78881981	41.53442476	0.116834512	1120.605469	3651.733398	19.57389466	26.62584896	-68.42072028	0.735146312	NA	NA
"79"	0.741632549	NA	NA	NA	""	"Graded"	""	9	NA	27.5	NA	40.35428921	NA	-59.78393688	34.82055742	1.015463218	188.5986328	1264.648438	3.294299263	9.220919115	-11.79489033	0.357263655	126.77	16.7
"80"	0.42157986	NA	NA	NA	""	"Graded"	""	14	NA	10	NA	80.70546683	-57.891847	-62.46948382	28.77807682	0.448614422	651.2451172	2502.441406	11.37546056	18.2460272	-29.09262941	0.623448624	136	11.4
"81"	3.436217649	NA	NA	NA	""	"Intermediate"	""	15	NA	22	14.25	30.21766669	-44.0673838	-69.45800937	59.11255015	1.298961377	426.0253906	1998.901367	7.441491539	14.57457051	-33.05542092	0.510580503	NA	20.7
"82"	0.353340165	NA	NA	NA	""	"Graded"	""	15	NA	7.7	NA	100.8137973	-48.18725694	-52.52075313	23.16284231	0.163981275	776.3671875	3719.482422	13.56099891	27.11982677	-24.93658039	0.500040027	179.33	8
"83"	0.22	3065.2	2837.5	2	"Type I"	"Graded"	"P"	8	-0.02	16.4	NA	70	-45.35	-58.87	23.19	0.267	681.1523438	3912.353516	11.89785753	28.52610594	-43.09263314	0.417086635	NA	16.4
"84"	1.861025918	3560.2	3127.4	6	"Type I"	"Transient"	"M"	4	0.13	10.8	11.84	60.52030388	-52.85644649	-56.42700321	48.58398546	0.347238572	395.5078125	3535.766602	6.908433406	25.78030136	-0.752670805	0.267973338	115.01	10
"85"	3.102167949	3123.2	3004.2	NA	"Type I"	"Intermediate"	"M"	4	0.2	12.1	11.3	40.44237132	-42.87719822	-56.94580205	54.74853638	0.547969292	351.5625	4143.676758	6.140829694	30.21275089	10.06196315	0.203252915	280.91	11.3
"86"	0.20161968	NA	NA	NA	"Type I"	"Transient"	"M"	7	0.45	NA	NA	110.9528134	-42.75512791	-50.47607535	15.71655309	0.084572152	1002.807617	6765.74707	17.51629026	49.3310272	-21.58853889	0.355076536	NA	7.5
"87"	0.331919225	NA	NA	NA	""	"Graded"	""	7	NA	7	NA	110.8053716	-53.40576291	-59.44824352	27.80151429	0.319954989	1033.325195	5908.203125	18.04934839	43.07842519	-12.64935087	0.41898812	213.47	6.7
"88"	0.584047643	NA	NA	NA	""	"Graded"	""	2	NA	21.2	NA	30.31364746	NA	-48.43139757	29.99877997	2.105476593	130.0048828	1005.859375	2.270827647	7.334012884	-11.60970724	0.309629623	92.45	NA
